TCName,AppURL,UserId,Password,TranSactionType,TransactionAmount,TransactionCurrency,ConversionRate,CardNumber,TransferAmount,CurrencyName,ContactNumber,TransfererName,Memo,TransactionPassword,TransactionRemarks,AmountToTransferWalletToWallet,WalletTransferCurrecny,WalletNumberFromTransferMoney,WalletToAmountTransfer,WalletToWalletTransferSucessMsg,NoOfTransactionsCount,FromDate,ToDate,ReplacementResone,ReplaceConfirmMessage,BlockCardRemark,BlockConfirmationMsg,UnblockCardRemark,UnblockConfirmationMsg,WalletActivationRemark,WalletDeactivateRemark,WalletActivateConfirmMsg,WalletDeactivateConfirmMsg,eComActivationConfirmMsg,beneficiaryID,beneficiaryFirstName,beneficiaryMiddleName,beneficiaryLastName,beneficiaryAddressLine1,beneficiaryAddressLine2,beneficiaryAddressLine3,beneficiaryCountryName,beneficiaryStateName,beneficiaryCityName,beneficiaryZIPCode,beneficiaryEmailAddress,beneficiaryMobileNumber,beneficiaryRemittanceAamount,beneficiaryRemittanceCurrency,newPassword,CardHolderTransPassword,FirstSequrityQuestion,FirstSequrityAnswer,SecondSequrityQuestion,SecondSequrityAnswer
TC_walletDeActivateFromCardHolder,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,Deactivate Wallet,Request has been processed successfully with reference number,Request has been processed successfully with reference number,,,,,,,,,,,,,,,,,,,,,,
TC_activateEcomForLifeLong,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,Deactivate Wallet,Request has been processed successfully with reference number,Request has been processed successfully with reference number,DEVICE is already activated for life long use,,,,,,,,,,,,,,,,,,,,,
TC_activationEcomForDuration,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,Deactivate Wallet,Request has been processed successfully with reference number,Request has been processed successfully with reference number,DEVICE is already activated for life long use,,,,,,,,,,,,,,,,,,,,,
TC_activateEcomForNHours,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,Deactivate Wallet,Request has been processed successfully with reference number,Request has been processed successfully with reference number,DEVICE is already activated for life long use,,,,,,,,,,,,,,,,,,,,,
TC_cashRemittanceBookting,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,Fname,Mname,Lname,Address1,Address1,Address3,INDIA,MAHARASTHRA,Pune,411033,mastercard@mastercard.com,7896543215,5000,INR,,,,,,
TC_signUpCardholderPortal,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,Fname,Mname,Lname,Address1,Address1,Address3,INDIA,MAHARASTHRA,Pune,411033,mastercard@mastercard.com,7896543215,5000,INR,aBcd1234*,aBcd1234*,,,,
TC_activationForInternationalUse,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,Fname,Mname,Lname,Address1,Address1,Address3,INDIA,MAHARASTHRA,Pune,411033,mastercard@mastercard.com,7896543215,5000,INR,aBcd1234*,aBcd1234*,,,,
TC_activationNHoursForInternationalUse,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,Fname,Mname,Lname,Address1,Address1,Address3,INDIA,MAHARASTHRA,Pune,411033,mastercard@mastercard.com,7896543215,5000,INR,aBcd1234*,aBcd1234*,,,,
TC_activationLifeLongForInternationalUse,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,Fname,Mname,Lname,Address1,Address1,Address3,INDIA,MAHARASTHRA,Pune,411033,mastercard@mastercard.com,7896543215,5000,INR,aBcd1234*,aBcd1234*,,,,
TC_ViewChargeForWalletToWalletDebit,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_ViewChargeForWalletClosure,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_ViewChargeForVisaMoneyTransferDebit,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_ViewChargeForIntraBnkWalletToWalletTransferDebit,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_ViewChargeForMasterCardMoneySend,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_RequestVirtualPrepaidCard,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_createPinSetRquest,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_visaMoneyTransfer,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,10000117311000005,5000,USD,955689456,Tester,CMKO-45,aBcd1234*,"454564Done ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
